Step,AgentID,Steps to fire up
53,"(0, 1)",0
53,"(0, 2)",0
53,"(0, 5)",0
53,"(0, 6)",0
53,"(0, 7)",0
53,"(0, 8)",0
53,"(0, 9)",0
53,"(0, 11)",0
53,"(0, 12)",0
53,"(0, 13)",0
53,"(0, 14)",0
53,"(0, 15)",0
53,"(0, 16)",0
53,"(0, 17)",0
53,"(0, 18)",0
53,"(0, 19)",0
53,"(0, 21)",0
53,"(0, 22)",0
53,"(0, 23)",0
53,"(0, 24)",0
53,"(0, 27)",0
53,"(0, 28)",0
53,"(0, 29)",0
53,"(0, 30)",0
53,"(0, 31)",0
53,"(0, 33)",0
53,"(0, 36)",0
53,"(0, 37)",0
53,"(0, 38)",0
53,"(0, 39)",0
53,"(0, 41)",0
53,"(0, 43)",0
53,"(0, 44)",0
53,"(0, 45)",0
53,"(0, 46)",0
53,"(0, 48)",0
53,"(0, 49)",0
53,"(0, 52)",0
53,"(0, 53)",0
53,"(0, 54)",0
53,"(0, 55)",0
53,"(0, 56)",0
53,"(0, 57)",0
53,"(0, 58)",0
53,"(0, 59)",0
53,"(0, 60)",0
53,"(0, 61)",0
53,"(0, 62)",0
53,"(0, 63)",0
53,"(0, 64)",0
53,"(0, 65)",0
53,"(0, 66)",0
53,"(0, 67)",0
53,"(0, 69)",0
53,"(0, 70)",0
53,"(0, 71)",0
53,"(0, 72)",0
53,"(0, 73)",0
53,"(0, 74)",0
53,"(0, 75)",0
53,"(0, 76)",0
53,"(0, 77)",0
53,"(0, 78)",0
53,"(0, 81)",0
53,"(0, 82)",0
53,"(0, 83)",0
53,"(0, 84)",0
53,"(0, 85)",0
53,"(0, 91)",0
53,"(0, 92)",0
53,"(0, 93)",0
53,"(0, 94)",0
53,"(0, 95)",0
53,"(0, 96)",0
53,"(0, 97)",0
53,"(0, 98)",0
53,"(0, 99)",0
53,"(1, 1)",3
53,"(1, 2)",1
53,"(1, 3)",1
53,"(1, 4)",2
53,"(1, 5)",1
53,"(1, 6)",1
53,"(1, 7)",1
53,"(1, 8)",1
53,"(1, 9)",-1
53,"(1, 11)",1
53,"(1, 12)",1
53,"(1, 13)",1
53,"(1, 14)",1
53,"(1, 15)",1
53,"(1, 16)",1
53,"(1, 18)",1
53,"(1, 19)",2
53,"(1, 20)",1
53,"(1, 21)",1
53,"(1, 23)",1
53,"(1, 24)",2
53,"(1, 26)",2
53,"(1, 27)",1
53,"(1, 28)",1
53,"(1, 29)",1
53,"(1, 31)",3
53,"(1, 33)",6
53,"(1, 34)",6
53,"(1, 35)",6
53,"(1, 36)",5
53,"(1, 37)",1
53,"(1, 38)",1
53,"(1, 40)",1
53,"(1, 41)",-1
53,"(1, 42)",1
53,"(1, 43)",1
53,"(1, 44)",1
53,"(1, 45)",1
53,"(1, 47)",1
53,"(1, 48)",2
53,"(1, 49)",1
53,"(1, 50)",2
53,"(1, 51)",1
53,"(1, 53)",2
53,"(1, 54)",1
53,"(1, 55)",1
53,"(1, 56)",1
53,"(1, 57)",1
53,"(1, 58)",1
53,"(1, 59)",1
53,"(1, 60)",1
53,"(1, 61)",1
53,"(1, 62)",1
53,"(1, 63)",1
53,"(1, 64)",1
53,"(1, 65)",1
53,"(1, 67)",1
53,"(1, 68)",1
53,"(1, 70)",1
53,"(1, 71)",1
53,"(1, 72)",1
53,"(1, 73)",1
53,"(1, 74)",1
53,"(1, 75)",1
53,"(1, 77)",1
53,"(1, 78)",1
53,"(1, 79)",1
53,"(1, 80)",1
53,"(1, 82)",1
53,"(1, 85)",1
53,"(1, 86)",1
53,"(1, 87)",1
53,"(1, 88)",2
53,"(1, 90)",1
53,"(1, 92)",1
53,"(1, 93)",1
53,"(1, 94)",1
53,"(1, 96)",1
53,"(1, 97)",1
53,"(1, 98)",1
53,"(1, 99)",1
53,"(2, 0)",2
53,"(2, 1)",1
53,"(2, 2)",2
53,"(2, 3)",1
53,"(2, 4)",3
53,"(2, 5)",2
53,"(2, 7)",1
53,"(2, 9)",2
53,"(2, 10)",1
53,"(2, 11)",1
53,"(2, 12)",1
53,"(2, 14)",3
53,"(2, 15)",2
53,"(2, 17)",2
53,"(2, 19)",1
53,"(2, 20)",2
53,"(2, 21)",1
53,"(2, 23)",2
53,"(2, 24)",2
53,"(2, 25)",2
53,"(2, 26)",1
53,"(2, 30)",1
53,"(2, 31)",2
53,"(2, 32)",3
53,"(2, 33)",6
53,"(2, 35)",5
