Step,AgentID,Steps to fire up
25,"(0, 0)",0
25,"(0, 1)",0
25,"(0, 3)",0
25,"(0, 6)",0
25,"(0, 7)",0
25,"(0, 10)",0
25,"(0, 11)",0
25,"(0, 12)",0
25,"(0, 13)",0
25,"(0, 15)",0
25,"(0, 16)",0
25,"(0, 17)",0
25,"(0, 19)",0
25,"(0, 20)",0
25,"(0, 21)",0
25,"(0, 22)",0
25,"(0, 23)",0
25,"(0, 24)",0
25,"(0, 27)",0
25,"(0, 28)",0
25,"(0, 29)",0
25,"(0, 30)",0
25,"(0, 33)",0
25,"(0, 34)",0
25,"(0, 35)",0
25,"(0, 36)",0
25,"(0, 37)",0
25,"(0, 38)",0
25,"(0, 40)",0
25,"(0, 41)",0
25,"(0, 43)",0
25,"(0, 45)",0
25,"(0, 46)",0
25,"(0, 47)",0
25,"(0, 48)",0
25,"(0, 49)",0
25,"(0, 50)",0
25,"(0, 51)",0
25,"(0, 52)",0
25,"(0, 54)",0
25,"(0, 57)",0
25,"(0, 59)",0
25,"(0, 61)",0
25,"(0, 62)",0
25,"(0, 63)",0
25,"(0, 64)",0
25,"(0, 68)",0
25,"(0, 71)",0
25,"(0, 72)",0
25,"(0, 74)",0
25,"(0, 75)",0
25,"(0, 76)",0
25,"(0, 78)",0
25,"(0, 79)",0
25,"(0, 80)",0
25,"(0, 81)",0
25,"(0, 82)",0
25,"(0, 83)",0
25,"(0, 84)",0
25,"(0, 85)",0
25,"(0, 86)",0
25,"(0, 88)",0
25,"(0, 89)",0
25,"(0, 90)",0
25,"(0, 92)",0
25,"(0, 93)",0
25,"(0, 94)",0
25,"(0, 95)",0
25,"(0, 98)",0
25,"(1, 0)",1
25,"(1, 5)",1
25,"(1, 6)",2
25,"(1, 8)",1
25,"(1, 9)",1
25,"(1, 11)",2
25,"(1, 12)",1
25,"(1, 13)",1
25,"(1, 14)",1
25,"(1, 15)",1
25,"(1, 16)",1
25,"(1, 17)",1
25,"(1, 18)",1
25,"(1, 19)",1
25,"(1, 20)",2
25,"(1, 21)",1
25,"(1, 22)",1
25,"(1, 25)",4
25,"(1, 33)",1
25,"(1, 35)",-1
25,"(1, 37)",1
25,"(1, 38)",3
25,"(1, 40)",1
25,"(1, 41)",2
25,"(1, 43)",-1
25,"(1, 45)",1
25,"(1, 47)",1
25,"(1, 49)",1
25,"(1, 50)",1
25,"(1, 51)",2
25,"(1, 53)",1
25,"(1, 54)",1
25,"(1, 55)",2
25,"(1, 57)",1
25,"(1, 62)",1
25,"(1, 63)",1
25,"(1, 64)",1
25,"(1, 65)",1
25,"(1, 66)",2
25,"(1, 67)",3
25,"(1, 68)",2
25,"(1, 69)",1
25,"(1, 73)",2
25,"(1, 74)",1
25,"(1, 75)",1
25,"(1, 76)",1
25,"(1, 77)",2
25,"(1, 78)",-1
25,"(1, 79)",1
25,"(1, 81)",-1
25,"(1, 83)",1
25,"(1, 84)",1
25,"(1, 85)",2
25,"(1, 88)",1
25,"(1, 89)",1
25,"(1, 91)",1
25,"(1, 92)",1
25,"(1, 93)",1
25,"(1, 95)",1
25,"(1, 96)",2
25,"(1, 97)",1
25,"(1, 98)",2
25,"(1, 99)",1
25,"(2, 0)",2
25,"(2, 1)",4
25,"(2, 2)",3
25,"(2, 3)",2
25,"(2, 5)",2
25,"(2, 6)",2
25,"(2, 7)",2
25,"(2, 10)",1
25,"(2, 11)",1
25,"(2, 13)",1
25,"(2, 14)",1
25,"(2, 15)",1
25,"(2, 17)",1
25,"(2, 18)",-1
25,"(2, 20)",1
25,"(2, 22)",1
25,"(2, 23)",2
25,"(2, 24)",3
25,"(2, 29)",-1
25,"(2, 30)",-1
25,"(2, 31)",5
25,"(2, 33)",3
25,"(2, 34)",2
25,"(2, 35)",2
25,"(2, 36)",2
25,"(2, 39)",2
25,"(2, 43)",4
25,"(2, 45)",2
25,"(2, 46)",2
25,"(2, 47)",1
25,"(2, 48)",1
25,"(2, 51)",2
25,"(2, 54)",1
25,"(2, 56)",2
25,"(2, 57)",2
25,"(2, 58)",2
25,"(2, 59)",3
25,"(2, 60)",-1
25,"(2, 62)",2
25,"(2, 64)",2
25,"(2, 66)",2
25,"(2, 68)",2
25,"(2, 69)",-1
25,"(2, 72)",-1
25,"(2, 74)",2
25,"(2, 76)",2
25,"(2, 78)",-1
25,"(2, 79)",1
25,"(2, 80)",1
25,"(2, 81)",3
25,"(2, 82)",-1
25,"(2, 84)",1
25,"(2, 86)",3
25,"(2, 90)",-1
25,"(2, 92)",1
25,"(2, 93)",3
25,"(2, 94)",3
25,"(2, 95)",2
25,"(2, 98)",2
25,"(2, 99)",3
25,"(3, 4)",2
25,"(3, 6)",2
25,"(3, 8)",3
25,"(3, 10)",1
25,"(3, 11)",1
25,"(3, 12)",1
25,"(3, 13)",1
25,"(3, 14)",1
25,"(3, 15)",-1
25,"(3, 16)",2
25,"(3, 19)",1
25,"(3, 20)",1
25,"(3, 21)",-1
25,"(3, 23)",5
25,"(3, 24)",4
25,"(3, 27)",-1
25,"(3, 30)",-1
25,"(3, 31)",4
25,"(3, 32)",3
25,"(3, 33)",2
25,"(3, 35)",2
25,"(3, 38)",7
25,"(3, 40)",4
25,"(3, 41)",4
25,"(3, 42)",4
25,"(3, 43)",4
25,"(3, 44)",3
25,"(3, 45)",2
25,"(3, 46)",1
25,"(3, 47)",1
25,"(3, 48)",1
25,"(3, 50)",2
25,"(3, 51)",-1
25,"(3, 52)",-1
