Step,AgentID,Steps to fire up
48,"(0, 0)",0
48,"(0, 1)",0
48,"(0, 3)",0
48,"(0, 4)",0
48,"(0, 5)",0
48,"(0, 6)",0
48,"(0, 7)",0
48,"(0, 8)",0
48,"(0, 9)",0
48,"(0, 10)",0
48,"(0, 11)",0
48,"(0, 12)",0
48,"(0, 14)",0
48,"(0, 15)",0
48,"(0, 20)",0
48,"(0, 21)",0
48,"(0, 22)",0
48,"(0, 23)",0
48,"(0, 26)",0
48,"(0, 27)",0
48,"(0, 28)",0
48,"(0, 29)",0
48,"(0, 30)",0
48,"(0, 32)",0
48,"(0, 33)",0
48,"(0, 34)",0
48,"(0, 35)",0
48,"(0, 36)",0
48,"(0, 38)",0
48,"(0, 40)",0
48,"(0, 41)",0
48,"(0, 43)",0
48,"(0, 44)",0
48,"(0, 45)",0
48,"(0, 47)",0
48,"(0, 48)",0
48,"(0, 49)",0
48,"(0, 50)",0
48,"(0, 51)",0
48,"(0, 53)",0
48,"(0, 54)",0
48,"(0, 55)",0
48,"(0, 56)",0
48,"(0, 58)",0
48,"(0, 62)",0
48,"(0, 63)",0
48,"(0, 64)",0
48,"(0, 66)",0
48,"(0, 67)",0
48,"(0, 69)",0
48,"(0, 70)",0
48,"(0, 71)",0
48,"(0, 72)",0
48,"(0, 73)",0
48,"(0, 74)",0
48,"(0, 76)",0
48,"(0, 77)",0
48,"(0, 78)",0
48,"(0, 79)",0
48,"(0, 80)",0
48,"(0, 81)",0
48,"(0, 82)",0
48,"(0, 84)",0
48,"(0, 85)",0
48,"(0, 89)",0
48,"(0, 90)",0
48,"(0, 91)",0
48,"(0, 92)",0
48,"(0, 93)",0
48,"(0, 94)",0
48,"(0, 96)",0
48,"(0, 97)",0
48,"(0, 98)",0
48,"(0, 99)",0
48,"(1, 1)",1
48,"(1, 2)",1
48,"(1, 5)",1
48,"(1, 6)",1
48,"(1, 7)",1
48,"(1, 8)",1
48,"(1, 9)",1
48,"(1, 11)",1
48,"(1, 13)",1
48,"(1, 14)",1
48,"(1, 15)",1
48,"(1, 17)",2
48,"(1, 18)",2
48,"(1, 19)",1
48,"(1, 20)",1
48,"(1, 22)",1
48,"(1, 23)",1
48,"(1, 24)",1
48,"(1, 25)",1
48,"(1, 26)",1
48,"(1, 27)",1
48,"(1, 28)",1
48,"(1, 29)",1
48,"(1, 32)",1
48,"(1, 33)",1
48,"(1, 34)",1
48,"(1, 35)",1
48,"(1, 36)",1
48,"(1, 37)",1
48,"(1, 39)",1
48,"(1, 41)",1
48,"(1, 42)",1
48,"(1, 43)",1
48,"(1, 44)",1
48,"(1, 45)",1
48,"(1, 46)",1
48,"(1, 47)",1
48,"(1, 48)",1
48,"(1, 49)",1
48,"(1, 50)",1
48,"(1, 52)",1
48,"(1, 53)",1
48,"(1, 54)",1
48,"(1, 55)",1
48,"(1, 56)",1
48,"(1, 57)",1
48,"(1, 58)",2
48,"(1, 60)",1
48,"(1, 61)",1
48,"(1, 62)",1
48,"(1, 63)",1
48,"(1, 64)",1
48,"(1, 65)",1
48,"(1, 66)",1
48,"(1, 68)",2
48,"(1, 69)",1
48,"(1, 70)",1
48,"(1, 71)",1
48,"(1, 72)",1
48,"(1, 75)",1
48,"(1, 77)",1
48,"(1, 82)",-1
48,"(1, 83)",1
48,"(1, 84)",1
48,"(1, 86)",2
48,"(1, 87)",1
48,"(1, 88)",1
48,"(1, 89)",1
48,"(1, 90)",1
48,"(1, 92)",1
48,"(1, 93)",1
48,"(1, 94)",1
48,"(1, 95)",1
48,"(1, 96)",1
48,"(1, 97)",1
48,"(1, 98)",1
48,"(2, 0)",-1
48,"(2, 1)",1
48,"(2, 2)",1
48,"(2, 3)",1
48,"(2, 4)",1
48,"(2, 5)",1
48,"(2, 6)",1
48,"(2, 7)",1
48,"(2, 8)",1
48,"(2, 9)",1
48,"(2, 10)",1
48,"(2, 11)",2
48,"(2, 12)",1
48,"(2, 13)",1
48,"(2, 14)",1
48,"(2, 15)",1
48,"(2, 16)",1
48,"(2, 17)",2
48,"(2, 18)",2
48,"(2, 19)",2
48,"(2, 21)",2
48,"(2, 22)",2
48,"(2, 23)",1
48,"(2, 24)",2
48,"(2, 25)",1
48,"(2, 26)",1
48,"(2, 27)",1
48,"(2, 28)",1
48,"(2, 29)",1
48,"(2, 30)",1
48,"(2, 31)",1
48,"(2, 32)",1
48,"(2, 33)",1
48,"(2, 35)",1
48,"(2, 36)",1
48,"(2, 41)",1
48,"(2, 43)",1
48,"(2, 44)",1
48,"(2, 45)",1
48,"(2, 46)",1
48,"(2, 47)",1
48,"(2, 48)",1
48,"(2, 49)",1
48,"(2, 51)",1
48,"(2, 52)",1
48,"(2, 53)",1
48,"(2, 54)",1
48,"(2, 55)",1
48,"(2, 56)",1
48,"(2, 58)",2
48,"(2, 59)",1
48,"(2, 60)",1
48,"(2, 61)",1
48,"(2, 62)",1
48,"(2, 63)",1
48,"(2, 64)",1
48,"(2, 65)",1
48,"(2, 66)",1
48,"(2, 67)",2
48,"(2, 69)",2
48,"(2, 70)",2
48,"(2, 71)",2
48,"(2, 72)",2
48,"(2, 73)",2
48,"(2, 74)",3
48,"(2, 75)",4
48,"(2, 77)",1
48,"(2, 78)",1
48,"(2, 79)",2
48,"(2, 80)",3
48,"(2, 82)",-1
48,"(2, 83)",-1
48,"(2, 84)",-1
48,"(2, 86)",2
48,"(2, 87)",1
48,"(2, 88)",1
48,"(2, 89)",1
48,"(2, 91)",1
48,"(2, 92)",2
48,"(2, 93)",1
48,"(2, 94)",1
48,"(2, 95)",1
48,"(2, 96)",1
48,"(2, 97)",1
48,"(2, 98)",1
48,"(2, 99)",-1
48,"(3, 2)",2
48,"(3, 3)",1
48,"(3, 4)",1
48,"(3, 5)",1
48,"(3, 7)",1
48,"(3, 8)",1
48,"(3, 10)",2
48,"(3, 11)",2
48,"(3, 13)",1
48,"(3, 14)",1
48,"(3, 15)",1
48,"(3, 16)",2
48,"(3, 18)",2
48,"(3, 19)",3
48,"(3, 20)",3
48,"(3, 21)",3
48,"(3, 22)",2
48,"(3, 23)",2
48,"(3, 24)",2
48,"(3, 25)",2
48,"(3, 26)",2
48,"(3, 28)",1
48,"(3, 29)",1
48,"(3, 30)",1
48,"(3, 31)",1
48,"(3, 33)",2
48,"(3, 34)",2
48,"(3, 36)",1
48,"(3, 39)",2
48,"(3, 40)",2
48,"(3, 41)",2
48,"(3, 42)",2
48,"(3, 44)",1
48,"(3, 45)",1
48,"(3, 46)",1
48,"(3, 47)",1
48,"(3, 48)",1
48,"(3, 50)",1
48,"(3, 51)",2
48,"(3, 52)",2
48,"(3, 53)",2
48,"(3, 54)",2
48,"(3, 55)",2
48,"(3, 56)",2
48,"(3, 58)",2
48,"(3, 59)",1
48,"(3, 60)",1
48,"(3, 62)",1
48,"(3, 63)",1
48,"(3, 64)",1
48,"(3, 65)",1
48,"(3, 66)",1
48,"(3, 67)",2
48,"(3, 68)",2
48,"(3, 69)",2
48,"(3, 70)",3
48,"(3, 71)",4
48,"(3, 72)",2
48,"(3, 74)",3
48,"(3, 75)",4
48,"(3, 76)",4
48,"(3, 77)",5
48,"(3, 78)",2
48,"(3, 79)",3
48,"(3, 81)",-1
48,"(3, 85)",-1
48,"(3, 86)",3
48,"(3, 87)",1
48,"(3, 88)",1
48,"(3, 89)",1
48,"(3, 90)",2
48,"(3, 91)",2
48,"(3, 92)",2
48,"(3, 93)",1
48,"(3, 94)",1
48,"(3, 95)",1
48,"(3, 96)",1
48,"(3, 97)",1
48,"(3, 98)",1
48,"(4, 0)",6
48,"(4, 2)",2
48,"(4, 3)",2
48,"(4, 4)",2
48,"(4, 7)",2
48,"(4, 8)",2
48,"(4, 12)",1
48,"(4, 13)",1
48,"(4, 17)",2
48,"(4, 18)",2
48,"(4, 20)",3
48,"(4, 21)",3
48,"(4, 22)",3
48,"(4, 23)",2
48,"(4, 25)",2
48,"(4, 26)",2
48,"(4, 27)",2
48,"(4, 28)",1
48,"(4, 29)",1
48,"(4, 30)",1
48,"(4, 31)",1
48,"(4, 33)",2
