,Fine,On Fire,Burned Out
0,5295,52,0
1,5196,50,101
2,5120,43,184
3,5047,43,257
4,4922,66,359
5,4795,68,484
6,4715,42,590
7,4648,41,658
8,4573,38,736
9,4467,57,823
10,4336,71,940
11,4234,50,1063
12,4145,42,1160
13,4057,50,1240
14,3965,46,1336
15,3899,38,1410
16,3805,50,1492
17,3728,42,1577
18,3663,42,1642
19,3548,65,1734
20,3417,62,1868
21,3316,54,1977
22,3228,51,2068
23,3126,60,2161
24,3020,64,2263
25,2942,39,2366
26,2885,36,2426
27,2815,37,2495
28,2749,40,2558
29,2682,41,2624
30,2612,38,2697
31,2541,35,2771
32,2465,49,2833
33,2388,46,2913
34,2286,60,3001
35,2163,61,3123
36,2053,65,3229
37,1961,46,3340
38,1888,42,3417
39,1814,47,3486
40,1714,59,3574
41,1597,71,3679
42,1433,87,3827
43,1280,79,3988
44,1176,52,4119
45,1096,49,4202
46,1001,57,4289
47,905,60,4382
48,802,51,4494
49,729,44,4574
50,681,32,4634
51,650,18,4679
52,625,15,4707
53,612,10,4725
54,601,7,4739
55,592,3,4752
56,589,2,4756
57,579,7,4761
58,573,3,4771
59,561,6,4780
60,557,2,4788
61,548,5,4794
62,539,7,4801
63,525,10,4812
64,512,4,4831
65,504,5,4838
66,497,5,4845
67,490,4,4853
68,464,14,4869
69,445,11,4891
70,443,1,4903
71,443,0,4904
