Step,AgentID,Steps to fire up
71,"(0, 0)",0
71,"(0, 1)",0
71,"(0, 2)",0
71,"(0, 4)",0
71,"(0, 5)",0
71,"(0, 6)",0
71,"(0, 9)",0
71,"(0, 10)",0
71,"(0, 11)",0
71,"(0, 12)",0
71,"(0, 13)",0
71,"(0, 14)",0
71,"(0, 16)",0
71,"(0, 17)",0
71,"(0, 18)",0
71,"(0, 21)",0
71,"(0, 24)",0
71,"(0, 32)",0
71,"(0, 35)",0
71,"(0, 37)",0
71,"(0, 38)",0
71,"(0, 39)",0
71,"(0, 40)",0
71,"(0, 41)",0
71,"(0, 43)",0
71,"(0, 45)",0
71,"(0, 47)",0
71,"(0, 49)",0
71,"(0, 50)",0
71,"(0, 57)",0
71,"(0, 58)",0
71,"(0, 59)",0
71,"(0, 61)",0
71,"(0, 62)",0
71,"(0, 64)",0
71,"(0, 66)",0
71,"(0, 68)",0
71,"(0, 72)",0
71,"(0, 74)",0
71,"(0, 76)",0
71,"(0, 78)",0
71,"(0, 81)",0
71,"(0, 82)",0
71,"(0, 83)",0
71,"(0, 84)",0
71,"(0, 86)",0
71,"(0, 90)",0
71,"(0, 91)",0
71,"(0, 93)",0
71,"(0, 94)",0
71,"(0, 95)",0
71,"(0, 97)",0
71,"(1, 0)",1
71,"(1, 1)",1
71,"(1, 2)",1
71,"(1, 5)",1
71,"(1, 7)",1
71,"(1, 12)",1
71,"(1, 14)",1
71,"(1, 15)",1
71,"(1, 18)",1
71,"(1, 20)",1
71,"(1, 21)",1
71,"(1, 22)",1
71,"(1, 23)",1
71,"(1, 26)",3
71,"(1, 28)",-1
71,"(1, 30)",2
71,"(1, 31)",1
71,"(1, 32)",1
71,"(1, 34)",2
71,"(1, 35)",1
71,"(1, 37)",1
71,"(1, 38)",1
71,"(1, 39)",1
71,"(1, 40)",1
71,"(1, 41)",1
71,"(1, 43)",1
71,"(1, 44)",1
71,"(1, 46)",1
71,"(1, 52)",6
71,"(1, 53)",6
71,"(1, 57)",1
71,"(1, 58)",1
71,"(1, 61)",1
71,"(1, 62)",1
71,"(1, 65)",2
71,"(1, 66)",1
71,"(1, 67)",1
71,"(1, 69)",1
71,"(1, 70)",1
71,"(1, 71)",1
71,"(1, 72)",1
71,"(1, 73)",1
71,"(1, 77)",1
71,"(1, 78)",1
71,"(1, 79)",1
71,"(1, 80)",1
71,"(1, 81)",1
71,"(1, 83)",1
71,"(1, 84)",1
71,"(1, 85)",1
71,"(1, 86)",1
71,"(1, 89)",1
71,"(1, 90)",1
71,"(1, 91)",1
71,"(1, 92)",-1
71,"(1, 99)",-1
71,"(2, 7)",2
71,"(2, 9)",2
71,"(2, 10)",2
71,"(2, 11)",1
71,"(2, 15)",1
71,"(2, 18)",2
71,"(2, 19)",1
71,"(2, 22)",1
71,"(2, 23)",1
71,"(2, 25)",2
71,"(2, 26)",3
71,"(2, 28)",-1
71,"(2, 33)",3
71,"(2, 35)",2
71,"(2, 36)",1
71,"(2, 37)",1
71,"(2, 39)",1
71,"(2, 40)",1
71,"(2, 43)",1
71,"(2, 44)",1
71,"(2, 45)",1
71,"(2, 46)",1
71,"(2, 49)",3
71,"(2, 50)",3
71,"(2, 53)",5
71,"(2, 55)",5
71,"(2, 57)",4
71,"(2, 59)",2
71,"(2, 61)",1
71,"(2, 62)",1
71,"(2, 63)",1
71,"(2, 65)",2
71,"(2, 66)",2
71,"(2, 67)",2
71,"(2, 73)",1
71,"(2, 74)",2
71,"(2, 75)",1
71,"(2, 76)",1
71,"(2, 77)",1
71,"(2, 78)",1
71,"(2, 79)",1
71,"(2, 80)",1
71,"(2, 82)",2
71,"(2, 83)",1
71,"(2, 84)",1
71,"(2, 86)",1
71,"(2, 87)",1
71,"(2, 89)",1
71,"(2, 96)",-1
71,"(2, 97)",-1
71,"(2, 98)",-1
71,"(2, 99)",-1
71,"(3, 1)",6
71,"(3, 4)",3
71,"(3, 6)",3
71,"(3, 7)",2
71,"(3, 8)",2
71,"(3, 9)",2
71,"(3, 11)",2
71,"(3, 12)",7
71,"(3, 13)",8
71,"(3, 15)",2
71,"(3, 16)",2
71,"(3, 17)",3
71,"(3, 19)",2
71,"(3, 20)",2
71,"(3, 22)",1
71,"(3, 24)",1
71,"(3, 25)",2
71,"(3, 26)",3
71,"(3, 27)",4
71,"(3, 30)",5
71,"(3, 31)",5
71,"(3, 34)",3
71,"(3, 36)",2
71,"(3, 37)",2
71,"(3, 39)",1
71,"(3, 42)",2
71,"(3, 43)",2
71,"(3, 45)",1
71,"(3, 47)",2
71,"(3, 48)",3
71,"(3, 49)",3
71,"(3, 51)",4
71,"(3, 52)",4
71,"(3, 53)",5
71,"(3, 56)",4
71,"(3, 57)",4
71,"(3, 58)",3
71,"(3, 59)",2
71,"(3, 60)",1
71,"(3, 61)",1
71,"(3, 62)",1
71,"(3, 63)",1
71,"(3, 64)",1
71,"(3, 65)",2
71,"(3, 68)",-1
71,"(3, 69)",3
71,"(3, 71)",8
71,"(3, 73)",2
71,"(3, 76)",1
71,"(3, 77)",1
71,"(3, 79)",1
71,"(3, 80)",1
71,"(3, 81)",1
71,"(3, 82)",2
71,"(3, 83)",2
71,"(3, 85)",2
71,"(3, 86)",1
71,"(3, 87)",1
71,"(3, 89)",2
71,"(3, 94)",15
71,"(3, 98)",-1
71,"(3, 99)",-1
71,"(4, 0)",5
71,"(4, 1)",4
71,"(4, 2)",4
71,"(4, 3)",4
71,"(4, 4)",3
71,"(4, 5)",3
71,"(4, 7)",2
71,"(4, 10)",2
71,"(4, 11)",3
71,"(4, 13)",6
71,"(4, 24)",2
71,"(4, 25)",2
71,"(4, 26)",3
71,"(4, 29)",5
71,"(4, 30)",5
71,"(4, 32)",4
71,"(4, 33)",3
71,"(4, 39)",1
71,"(4, 42)",2
71,"(4, 43)",2
71,"(4, 44)",2
71,"(4, 46)",2
71,"(4, 47)",2
71,"(4, 48)",3
71,"(4, 50)",3
71,"(4, 51)",4
71,"(4, 52)",4
71,"(4, 53)",5
71,"(4, 55)",5
71,"(4, 57)",4
