,density,multispecies,Run,All Living,Dead,Living By Species,Species 1,Species 2,width,height
0,0.1,True,0,21,2479,10.5,0,21,50,50
1,0.1,False,1,154,2346,154.0,154,0,50,50
2,0.2,True,2,100,2400,50.0,62,38,50,50
3,0.2,False,3,211,2289,211.0,211,0,50,50
