"label","group","freq","centrality","impact","color"
"optimization - conf 78.4% algorithm - conf 71% design - conf 84.6%","1","150","0.389985341677606","2.71355287953223","#E41A1C80"
"algorithm - conf 29% optimization - conf 21.6% trajectory optimization - conf 100%","2","43","0.423705954387236","3.5716967995422","#377EB880"
