,Fine,On Fire,Burned Out,Escaped the Fire
0,6554,3,0,0
1,6541,8,6,2
2,6533,5,16,3
3,6520,5,24,8
4,6489,13,47,8
5,6447,24,76,10
6,6405,16,116,20
7,6320,45,169,23
8,6218,49,257,33
9,6115,52,352,38
10,5986,68,453,50
11,5835,77,590,55
12,5691,72,723,71
13,5539,98,862,58
14,5342,97,1050,68
15,5121,108,1246,82
16,4864,128,1455,110
17,4663,123,1668,103
18,4404,118,1897,138
19,4162,145,2118,132
20,3940,128,2363,126
21,3649,146,2618,144
22,3415,141,2853,148
23,3205,119,3092,141
24,2925,140,3311,181
25,2675,136,3569,177
26,2453,146,3775,183
27,2190,138,4038,191
28,1967,131,4284,175
29,1711,131,4521,194
30,1494,117,4752,194
31,1269,119,4982,187
32,1070,117,5164,206
33,847,113,5384,213
34,651,114,5594,198
35,508,83,5780,186
36,397,58,5920,182
37,322,35,6016,184
38,255,30,6081,191
39,190,34,6144,189
40,149,25,6200,183
41,124,15,6235,183
42,106,13,6258,180
43,94,10,6275,178
44,90,3,6287,177
45,86,3,6291,177
46,86,0,6294,177
