,Fine,On Fire,Burned Out,Escaped the Fire
0,6440,6,0,0
1,6400,23,21,2
2,6329,37,76,4
3,6235,47,148,16
4,6103,74,256,13
5,5984,63,383,16
6,5850,81,500,15
7,5658,107,662,19
8,5445,119,860,22
9,5211,126,1075,34
10,4954,139,1314,39
11,4652,157,1593,44
12,4336,171,1897,42
13,4025,166,2205,50
14,3677,191,2525,53
15,3305,207,2878,56
16,2897,230,3258,61
17,2479,237,3667,63
18,2100,223,4048,75
19,1614,274,4468,90
20,1222,226,4933,65
21,887,164,5332,63
22,586,145,5660,55
23,421,81,5887,57
24,267,81,6041,57
25,159,55,6178,54
26,78,40,6274,54
27,42,19,6334,51
28,21,9,6371,45
29,20,1,6380,45
30,20,0,6381,45
