,Fine,On Fire,Burned Out
0,6512,69,0
1,6441,43,97
2,6371,43,167
3,6327,29,225
4,6275,26,280
5,6226,28,327
6,6198,18,365
7,6162,19,400
8,6121,22,438
9,6081,26,474
10,6023,32,526
11,5974,30,577
12,5921,30,630
13,5884,22,675
14,5853,21,707
15,5835,12,734
16,5822,5,754
17,5811,6,764
18,5805,3,773
19,5801,3,777
20,5794,4,783
21,5781,6,794
22,5772,3,806
23,5767,3,811
24,5757,3,821
25,5756,0,825
