,Fine,On Fire,Burned Out
0,8014,77,0
1,7863,91,137
2,7698,88,305
3,7542,79,470
4,7417,70,604
5,7257,91,743
6,7113,82,896
7,6977,85,1029
8,6849,69,1173
9,6717,76,1298
10,6566,86,1439
11,6331,117,1643
12,6132,113,1846
13,5978,103,2010
14,5761,115,2215
15,5571,107,2413
16,5362,118,2611
17,5177,104,2810
18,4957,128,3006
19,4709,125,3257
20,4494,118,3479
21,4285,124,3682
22,3967,170,3954
23,3738,125,4228
24,3534,112,4445
25,3394,81,4616
26,3201,106,4784
27,2992,107,4992
28,2823,92,5176
29,2618,109,5364
30,2361,136,5594
31,2107,141,5843
32,1862,130,6099
33,1633,117,6341
34,1401,125,6565
35,1148,147,6796
36,894,132,7065
37,696,120,7275
38,507,104,7480
39,349,84,7658
40,231,54,7806
41,181,21,7889
42,175,6,7910
43,173,1,7917
44,173,0,7918
