,Savings,Wallets,Money,Loans,Mean Money,Standart Deviation Money
0,233,0,233,100,9.32,(8.502799538975385+0j)
1,233,0,233,100,9.32,(8.502799538975385+0j)
2,233,0,233,100,9.32,(8.502799538975385+0j)
3,233,0,233,100,9.32,(8.502799538975385+0j)
4,233,0,233,100,9.32,(8.502799538975385+0j)
5,233,0,233,100,9.32,(8.502799538975385+0j)
6,233,0,233,100,9.32,(8.502799538975385+0j)
7,233,0,233,100,9.32,(8.502799538975385+0j)
8,233,0,233,100,9.32,(8.502799538975385+0j)
9,233,0,233,100,9.32,(8.502799538975385+0j)
10,233,0,233,100,9.32,(8.502799538975385+0j)
11,233,0,233,100,9.32,(8.502799538975385+0j)
12,233,0,233,100,9.32,(8.502799538975385+0j)
13,233,0,233,100,9.32,(8.502799538975385+0j)
14,233,0,233,100,9.32,(8.502799538975385+0j)
15,233,0,233,100,9.32,(8.502799538975385+0j)
16,233,0,233,100,9.32,(8.502799538975385+0j)
17,233,0,233,100,9.32,(8.502799538975385+0j)
18,233,0,233,100,9.32,(8.502799538975385+0j)
19,233,0,233,100,9.32,(8.502799538975385+0j)
20,233,0,233,100,9.32,(8.502799538975385+0j)
21,233,0,233,100,9.32,(8.502799538975385+0j)
22,233,0,233,100,9.32,(8.502799538975385+0j)
23,233,0,233,100,9.32,(8.502799538975385+0j)
24,233,0,233,100,9.32,(8.502799538975385+0j)
