,Savings,Wallets,Money,Loans,Mean Money,Standart Deviation Money
0,285,0,285,141,11.4,(14.783774890061064+0j)
1,285,0,285,141,11.4,(14.783774890061064+0j)
2,285,0,285,141,11.4,(14.783774890061064+0j)
3,285,0,285,141,11.4,(14.783774890061064+0j)
4,285,0,285,141,11.4,(14.783774890061064+0j)
5,285,0,285,141,11.4,(14.783774890061064+0j)
6,285,0,285,141,11.4,(14.783774890061064+0j)
7,285,0,285,141,11.4,(14.783774890061064+0j)
8,285,0,285,141,11.4,(14.783774890061064+0j)
9,285,0,285,141,11.4,(14.783774890061064+0j)
10,285,0,285,141,11.4,(14.783774890061064+0j)
11,285,0,285,141,11.4,(14.783774890061064+0j)
12,285,0,285,141,11.4,(14.783774890061064+0j)
13,285,0,285,141,11.4,(14.783774890061064+0j)
14,285,0,285,141,11.4,(14.783774890061064+0j)
15,285,0,285,141,11.4,(14.783774890061064+0j)
16,285,0,285,141,11.4,(14.783774890061064+0j)
17,285,0,285,141,11.4,(14.783774890061064+0j)
18,285,0,285,141,11.4,(14.783774890061064+0j)
19,285,0,285,141,11.4,(14.783774890061064+0j)
20,285,0,285,141,11.4,(14.783774890061064+0j)
21,285,0,285,141,11.4,(14.783774890061064+0j)
22,285,0,285,141,11.4,(14.783774890061064+0j)
23,285,0,285,141,11.4,(14.783774890061064+0j)
24,285,0,285,141,11.4,(14.783774890061064+0j)
