,Fine,On Fire,Burned Out
0,6459,65,0
1,6317,84,123
2,6101,113,310
3,5904,100,520
4,5659,137,728
5,5436,122,966
6,5237,114,1173
7,5023,129,1372
8,4815,116,1593
9,4607,115,1802
10,4347,139,2038
11,4077,140,2307
12,3815,144,2565
13,3597,117,2810
14,3343,131,3050
15,3110,125,3289
16,2910,105,3509
17,2728,103,3693
18,2546,103,3875
19,2334,123,4067
20,2089,137,4298
21,1874,132,4518
22,1610,146,4768
23,1382,116,5026
24,1125,125,5274
25,901,127,5496
26,659,125,5740
27,437,124,5963
28,269,76,6179
29,152,61,6311
30,65,46,6413
31,40,14,6470
32,28,4,6492
33,20,3,6501
34,9,7,6508
35,5,2,6517
36,5,0,6519
